ID_POSLA,VRSTA_KUPOPRODAJNEGA_POSLA,DATUM_UVELJAVITVE,DATUM_SKLENITVE_POGODBE,POGODBENA_CENA_ODSKODNINA,VKLJUCENOST_DDV,STOPNJA_DDV,DATUM_IZTEKA_LIZINGA,DATUM_PRENEHANJA_LIZINGA,OPOMBE_O_PRAVNEM_POSLU,POSREDOVANJE_NEPREMICNINSKE_AGENCIJE,DATUM_ZADNJE_SPREMEMBE_POSLA,DATUM_ZADNJE_UVELJAVITVE_POSLA,VRSTA_AKTA,TRZNOST_POSLA,LETO
413404,1,10.02.2019,28.01.2019,165000,1,3,,,,0,21.04.2023,16.11.2020,1,5,2020
520713,2,11.12.2020,26.10.2020,21156,0,,,,,,05.04.2022,11.12.2020,1,2,2020
494172,1,10.05.2020,22.04.2020,112000,0,,,,,,05.04.2022,10.05.2020,1,2,2020
479135,1,11.01.2020,24.12.2019,7000,0,,,,,,05.04.2022,11.01.2020,1,2,2020
518171,1,10.12.2020,08.10.2020,95000,0,,,,,,05.04.2022,10.12.2020,1,2,2020
496692,1,10.06.2020,21.05.2020,169048,0,,,,,,05.04.2022,10.06.2020,1,3,2020
479290,3,11.01.2020,26.11.2019,116554,0,,,,,,05.04.2022,11.01.2020,1,4,2020
515326,1,11.11.2020,05.10.2020,25000,0,,,,,,05.04.2022,11.11.2020,1,2,2020
486585,1,10.03.2020,10.01.2020,156,0,,,,,,05.04.2022,10.03.2020,1,3,2020
487674,1,10.03.2020,05.02.2020,20000,0,,,,,,05.04.2022,10.03.2020,1,2,2020
491436,3,11.04.2020,29.11.2019,125000,0,,,,,,05.04.2022,11.04.2020,1,3,2020
498358,1,20.07.2020,20.05.2020,19000,0,,,,,,05.04.2022,20.07.2020,1,2,2020
476756,1,10.01.2020,24.10.2019,91818.18,0,,,,,,05.04.2022,10.01.2020,1,1,2020
482783,1,11.02.2020,14.01.2020,70000,0,,,,,,05.04.2022,11.02.2020,1,1,2020
