ID_POSLA,SIFRA_KO,IME_KO,OBCINA,STEVILKA_STAVBE,STEVILKA_DELA_STAVBE,PARCELNA_STEVILKA_ZA_GEOLOKACIJO,INTERNA_OZNAKA_DELA_STAVBE,EVIDENTIRANOST_DELA_STAVBE,NASELJE,ULICA,HISNA_STEVILKA,DODATEK_HS,STEVILKA_STANOVANJA_ALI_POSLOVNEGA_PROSTORA,VRSTA_DELA_STAVBE,LETO_IZGRADNJE_DELA_STAVBE,STAVBA_JE_DOKONCANA,GRADBENA_FAZA,NOVOGRADNJA,PRODANA_POVRSINA,PRODANI_DELEZ_DELA_STAVBE,PRODANA_POVRSINA_DELA_STAVBE,PRODANA_UPORABNA_POVRSINA_DELA_STAVBE,NADSTROPJE_DELA_STAVBE,STEVILO_ZUNANJIH_PARKIRNIH_MEST,ATRIJ,POVRSINA_ATRIJA,OPOMBE_O_NEPREMICNINI,DEJANSKA_RABA_DELA_STAVBE,LEGA_DELA_STAVBE_V_STAVBI,STEVILO_SOB,POVRSINA_DELA_STAVBE,UPORABNA_POVRSINA,PROSTORI_DELA_STAVBE,POGODBENA_CENA_DELA_STAVBE,STOPNJA_DDV_DELA_STAVBE,E_CENTROID,N_CENTROID,LETO
392665,532,LENART V SLOVENSKIH GORICAH,LENART,1159,24,,,1,LENART V SLOV. GORICAH,JUROVSKA CESTA,14,E,24,2,2007,1,,,71,1/1,,,2,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,,70.6,57.4," bivalni prostor | klet | odprta terasa, balkon, loža",,,563418.42,160036.75,2024
817064,1433,SELA PRI ŠUMBERKU,TREBNJE,81,1,,,1,,,,,,13,1900,1,,,8,1/960,,,,,0,,,27 - hlev,pritličje,,8,8, kmetijski prostor,,,492617.98,83234.8,2024
816041,2635,ROGAŠKA SLATINA,ROGAŠKA SLATINA,258,17,,,1,ROGAŠKA SLATINA,ŽUPANČIČEVA ULICA,5,,17,2,1975,1,,,34.8,1/1,,,,,0,,,2 - stanovanje,nadstropje,,34.8,27.5," bivalni prostor | klet | odprta terasa, balkon, loža",,,548474.49,122396.22,2024
811634,2635,ROGAŠKA SLATINA,ROGAŠKA SLATINA,553,1,,,1,ROGAŠKA SLATINA,ZLATOROGOVA ULICA,5,,,1,1969,1,,,195,1/1,,,,,0,,,1 - stanovanje v enostanovanjski stavbi,pritličje,,195.5,100.7," bivalni prostor | garaža | klet | odprta terasa, balkon, loža",,,549062.1,121403.08,2024
819796,169,PETIŠOVCI,LENDAVA,69,1,,,1,,,,,,14,1981,1,,,15,1/1,,,,,0,,,28 - pomožni kmetijski del stavbe,pritličje,,15,15, kmetijski prostor,,,611235.91,155186.5,2024
819998,1964,IHAN,DOMŽALE,521,4,,,1,IHAN,BREZNIKOVA CESTA,77,,4,2,1961,1,,,63.4,1/1,,,,,0,,,2 - stanovanje,nadstropje,,63.4,49, bivalni prostor | klet,,,470516.05,109035.07,2024
818567,2136,BREG OB SAVI,KRANJ,362,53,,,1,,,,,,4,2004,1,,,12,3/68,,,,,0,,,16 - garažno parkirno mesto,pritličje,,12,12, garažni parkirni prostor,,,452100.99,119941.6,2024
821826,1483,KANDIJA,NOVO MESTO,2262,123,,,1,,,,,,3,2022,1,,1,12.5,1/1,,,,,0,,,16 - garažno parkirno mesto,klet,,12.5,12.5, garažni parkirni prostor,,,513581.28,73617.17,2024
824336,1959,DOMŽALE,DOMŽALE,19595045,195950452,2298/82,1959-5045-2,2,,,,,,2,2023,1,,1,,1/1,57.6,,,,,,,,,,,,-,,,469787.64,112219.67,2024
823637,105,MURSKA SOBOTA,MURSKA SOBOTA,3565,23,,,1,MURSKA SOBOTA,LENDAVSKA ULICA,51,,23,2,1985,1,,,31.5,1/1,,,,,0,,,2 - stanovanje,nadstropje,,31.5,28.2, bivalni prostor | klet,,,589636.07,170188.73,2024
