ID_POSLA,SIFRA_KO,IME_KO,OBCINA,PARCELNA_STEVILKA,VRSTA_ZEMLJISCA,VRSTA_TRAJNEGA_NASADA,STAROST_TRAJNEGA_NASADA,PRODANI_DELEZ_PARCELE,OPOMBE_O_NEPREMICNINI,POVRSINA_PARCELE,POGODBENA_CENA_PARCELE,STOPNJA_DDV_PARCELE,E_CENTROID,N_CENTROID,LETO
392665,532,LENART V SLOVENSKIH GORICAH,LENART,300/13,5,,,252/10000,,27,,,563409.06,160032.76,2024
392665,532,LENART V SLOVENSKIH GORICAH,LENART,307/39,5,,,84/10000,,12,,,563350.34,160141.66,2024
392665,532,LENART V SLOVENSKIH GORICAH,LENART,307/37,5,,,84/10000,,983,,,563412.39,160068.37,2024
392665,532,LENART V SLOVENSKIH GORICAH,LENART,300/17,5,,,84/10000,,7,,,563423.22,160016.74,2024
392665,532,LENART V SLOVENSKIH GORICAH,LENART,307/33,5,,,84/10000,,112,,,563338.11,160129.93,2024
392665,532,LENART V SLOVENSKIH GORICAH,LENART,307/34,5,,,84/10000,,985,,,563377.2,160058.42,2024
392665,532,LENART V SLOVENSKIH GORICAH,LENART,307/35,5,,,42/10000,,778,,,563347.86,160083.2,2024
392665,532,LENART V SLOVENSKIH GORICAH,LENART,307/36,5,,,32/10000,,205,,,563434.33,160019.78,2024
392665,532,LENART V SLOVENSKIH GORICAH,LENART,307/38,5,,,32/10000,,768,,,563403.07,160094.05,2024
671135,2319,BUKOVICA,RENČE-VOGRSKO,528/7,5,,,1/1,,574,,,397172.64,85772.35,2024
671135,2319,BUKOVICA,RENČE-VOGRSKO,528/19,5,,,1/1,,139,,,397137.13,85659.71,2024
671676,2302,KROMBERK,NOVA GORICA,1132/2,5,,,1/1,,2338,,,396581.14,91559.74,2024
671676,2302,KROMBERK,NOVA GORICA,1130/6,5,,,1/1,,151,,,396512.67,91558.38,2024
671676,2302,KROMBERK,NOVA GORICA,1132/1,5,,,1/1,,1518,,,396614.19,91520.21,2024
671676,2304,NOVA GORICA,NOVA GORICA,1970/1,5,,,1/1,,53,,,396514.81,91553.73,2024
671676,2304,NOVA GORICA,NOVA GORICA,1970/3,5,,,1/1,,172,,,396544.34,91537.02,2024
671676,2304,NOVA GORICA,NOVA GORICA,1970/4,5,,,1/1,,12,,,396614.31,91517.22,2024
671676,2304,NOVA GORICA,NOVA GORICA,853/1,5,,,1/1,,31,,,396504.54,91559.17,2024
671676,2304,NOVA GORICA,NOVA GORICA,853/3,5,,,1/1,,152,,,396567.19,91528.66,2024
671676,2304,NOVA GORICA,NOVA GORICA,854/247,5,,,1/1,,19,,,396499.85,91560.19,2024
750201,642,PERNICA,PESNICA,109/13,5,,,1/1,,1048,,,555013.86,159996.73,2024
756870,2119,,,2031/1,1,,,1090/10000,,112,,,454952.93,122223.35,2024
752967,2631,PORTOROŽ,PIRAN,1060/16,1,,,1/1,,9,397,4,389241.37,43015.3,2024
752967,2631,PORTOROŽ,PIRAN,1060/17,1,,,1/1,,11,485,4,389244.39,43013.27,2024
752967,2631,PORTOROŽ,PIRAN,1066/4,1,,,1/1,,107,4715,4,389264.7,43012.12,2024
750924,389,NOVA VAS PRI PTUJU,PTUJ,117/29,5,,,1/1,,304,,,568641.46,144192.33,2024
810080,2015,GORENJI LOGATEC,LOGATEC,218/2,7,,,1/1,,7199,,,438580.95,85746.15,2024
810083,390,MESTNI VRH,PTUJ,281/6,9,,,1/1,,801,,,565682.08,145961.01,2024
810083,390,MESTNI VRH,PTUJ,281/7,9,,,1/1,,142,,,565720.44,145961.72,2024
810111,1796,CESTA,DOBREPOLJE,1244/9,5,,,1/1,,1312,,,475054.98,79972.26,2024
810122,206,IVANJŠEVCI,GORNJA RADGONA,847/1,9,,,1/1,,11646,,,573771.87,166019.87,2024
810125,388,ROGOZNICA,PTUJ,700/10,3,,,1/1,,395,,,568895.75,143758.41,2024
810125,388,ROGOZNICA,PTUJ,700/27,5,,,1/1,,669,,,568882.32,143734.82,2024
809945,2624,KOŠTABONA,KOPER,2807,5,,,10/24,,40,,,400369.65,37666.73,2024
